Fecha_Anuncio,Cambio,Nivel_PostCambio,extraordinaria,Gobernador,Subgober1,Subgober2,Subgober3,Subgober4,Miembros_Votos,Votos_Favor,Disidentes
18/01/2008,0 ,7.50,no,,,,,,,,
15/02/2008,0 ,7.50,no,,,,,,,,
14/03/2008,0 ,7.50,no,,,,,,,,
18/04/2008,0 ,7.50,no,,,,,,,,
16/05/2008,0 ,7.50,no,,,,,,,,
20/06/2008,25 ,7.75,no,,,,,,,,
18/07/2008,25 ,8.00,no,,,,,,,,
15/08/2008,25 ,8.25,no,,,,,,,,
19/09/2008,0 ,8.25,no,,,,,,,,
17/10/2008,0 ,8.25,no,,,,,,,,
28/11/2008,0 ,8.25,no,,,,,,,,
16/01/2009,-50 ,7.75,no,,,,,,,,
20/02/2009,-25 ,7.50,no,,,,,,,,
20/03/2009,-75 ,6.75,no,,,,,,,,
17/04/2009,-75 ,6.00,no,,,,,,,,
15/05/2009,-75 ,5.25,no,,,,,,,,
19/06/2009,-50 ,4.75,no,,,,,,,,
17/07/2009,-25 ,4.50,no,,,,,,,,
21/08/2009,0 ,4.50,no,,,,,,,,
18/09/2009,0 ,4.50,no,,,,,,,,
16/10/2009,0 ,4.50,no,,,,,,,,
27/11/2009,0 ,4.50,no,,,,,,,,
15/01/2010,0 ,4.50,no,,,,,,,,
19/02/2010,0 ,4.50,no,,,,,,,,
19/03/2010,0 ,4.50,no,,,,,,,,
16/04/2010,0 ,4.50,no,,,,,,,,
21/05/2010,0 ,4.50,no,,,,,,,,
18/06/2010,0 ,4.50,no,,,,,,,,
16/07/2010,0 ,4.50,no,,,,,,,,
20/08/2010,0 ,4.50,no,,,,,,,,
24/09/2010,0 ,4.50,no,,,,,,,,
15/10/2010,0 ,4.50,no,,,,,,,,
26/11/2010,0 ,4.50,no,,,,,,,,
21/01/2011,0 ,4.50,no,Agustín Guillermo Carstens Carstens,Roberto del Cueto Legaspi,Manuel Sánchez González,José Julián Sidaoui Dib,,4,4,
